studymo,year,month,count,pop,rate,vac,roll,strike1,strike2
0,2002,May,42,37781,.0011116699,0,0,0,0
1,2002,Jun,44,37781,.0011646065,0,0,0,0
2,2002,Jul,33,37781,.0008734549,0,0,0,0
3,2002,Aug,38,37781,.0010057966,0,0,0,0
4,2002,Sep,29,37781,.00076758157,0,0,0,0
5,2002,Oct,45,37781,.0011910748,0,0,0,0
6,2002,Nov,74,37781,.0019586564,0,0,0,0
7,2002,Dec,125,37781,.0033085414,0,0,0,0
8,2003,Jan,115,38428,.0029926095,0,0,0,0
9,2003,Feb,65,38428,.0016914749,0,0,0,0
10,2003,Mar,43,38428,.0011189757,0,0,0,0
11,2003,Apr,40,38428,.0010409077,0,0,0,0
12,2003,May,40,38428,.0010409077,0,0,0,0
13,2003,Jun,57,38428,.0014832935,0,0,0,0
14,2003,Jul,120,38428,.003122723,0,0,0,0
15,2003,Aug,99,38428,.0025762464,0,0,0,0
16,2003,Sep,69,38428,.0017955657,0,0,0,0
17,2003,Oct,78,38428,.0020297701,0,0,0,0
18,2003,Nov,88,38428,.0022899969,0,0,0,0
19,2003,Dec,69,38428,.0017955657,0,0,0,0
20,2004,Jan,67,40462,.0016558747,0,0,0,0
21,2004,Feb,65,40462,.0016064455,0,0,0,0
22,2004,Mar,88,40462,.0021748801,0,0,0,0
23,2004,Apr,96,40462,.0023725964,0,0,0,0
24,2004,May,92,40462,.0022737384,0,0,0,0
25,2004,Jun,48,40462,.0011862982,0,0,0,0
26,2004,Jul,69,40462,.0017053038,0,0,0,0
27,2004,Aug,87,40462,.0021501656,0,0,0,0
28,2004,Sep,76,40462,.0018783056,0,0,0,0
29,2004,Oct,80,40462,.0019771638,0,0,0,0
30,2004,Nov,67,40462,.0016558747,0,0,0,0
31,2004,Dec,131,40462,.0032376056,0,0,0,0
32,2005,Jan,129,41245,.0031276518,0,0,0,0
33,2005,Feb,66,41245,.0016001939,0,0,0,0
34,2005,Mar,40,41245,.00096981454,0,0,0,0
35,2005,Apr,37,41245,.00089707843,0,0,0,0
36,2005,May,37,41245,.00089707843,0,0,0,0
37,2005,Jun,32,41245,.0007758516,0,0,0,0
38,2005,Jul,56,41245,.0013577404,0,0,0,0
39,2005,Aug,60,41245,.0014547218,0,0,0,0
40,2005,Sep,44,41245,.001066796,0,0,0,0
41,2005,Oct,61,41245,.0014789671,0,0,0,0
42,2005,Nov,47,41245,.0011395321,0,0,0,0
43,2005,Dec,98,41245,.0023760456,0,0,0,0
44,2006,Jan,76,42313,.0017961384,0,0,0,0
45,2006,Feb,99,42313,.0023397065,0,0,0,0
46,2006,Mar,78,42313,.0018434051,0,0,0,0
47,2006,Apr,58,42313,.0013707371,0,0,0,0
48,2006,May,56,42313,.0013234704,0,0,0,0
49,2006,Jun,61,42313,.0014416373,0,0,0,0
50,2006,Jul,70,42313,.0016543379,0,0,0,0
51,2006,Aug,45,42313,.001063503,0,0,0,0
52,2006,Sep,59,42313,.0013943706,0,0,0,0
53,2006,Oct,48,42313,.0011344032,0,0,0,0
54,2006,Nov,69,42313,.0016307045,0,0,0,0
55,2006,Dec,93,42313,.0021979061,0,0,0,0
56,2007,Jan,92,43087,.0021352149,0,0,0,0
57,2007,Feb,81,43087,.0018799173,0,0,0,0
58,2007,Mar,67,43087,.0015549933,0,0,0,0
59,2007,Apr,32,43087,.00074268342,0,0,0,0
60,2007,May,33,43087,.00076589227,0,0,0,0
61,2007,Jun,39,43087,.00090514543,0,0,0,0
62,2007,Jul,46,43087,.0010676074,0,0,0,0
63,2007,Aug,46,43087,.0010676074,0,0,0,0
64,2007,Sep,41,43087,.00095156312,0,0,0,0
65,2007,Oct,55,43087,.0012764871,0,0,0,0
66,2007,Nov,76,43087,.0017638732,0,0,0,0
67,2007,Dec,80,43087,.0018567085,0,0,0,0
68,2008,Jan,92,43215,.0021288905,0,0,0,0
69,2008,Feb,67,43215,.0015503876,0,0,0,0
70,2008,Mar,37,43215,.00085618417,0,0,0,0
71,2008,Apr,41,43215,.00094874465,0,0,0,0
72,2008,May,36,43215,.00083304406,0,0,0,0
73,2008,Jun,34,43215,.00078676385,0,0,0,0
74,2008,Jul,53,43215,.001226426,0,0,0,0
75,2008,Aug,59,43215,.0013652667,0,0,0,0
76,2008,Sep,61,43215,.001411547,0,0,0,0
77,2008,Oct,43,43215,.00099502492,0,0,0,0
78,2008,Nov,38,43215,.00087932433,0,0,0,0
79,2008,Dec,33,43215,.00076362374,0,0,0,0
80,2009,Jan,68,44738,.0015199607,0,0,0,0
81,2009,Feb,80,44738,.0017881891,0,0,0,0
82,2009,Mar,48,44738,.0010729134,0,0,0,0
83,2009,Apr,35,44738,.00078233267,0,0,0,0
84,2009,May,26,44738,.00058116141,0,0,0,0
85,2009,Jun,35,44738,.00078233267,0,0,0,0
86,2009,Jul,49,44738,.0010952657,0,0,0,0
87,2009,Aug,72,44738,.0016093701,0,0,0,0
88,2009,Sep,43,44738,.00096115161,0,0,0,0
89,2009,Oct,40,44738,.00089409453,0,0,0,0
90,2009,Nov,60,44738,.0013411418,0,0,0,0
91,2009,Dec,99,44738,.0022128839,0,0,0,0
92,2010,Jan,92,45279,.0020318469,0,0,0,0
93,2010,Feb,84,45279,.0018551646,0,0,0,0
94,2010,Mar,68,45279,.0015017999,0,0,0,0
95,2010,Apr,35,45279,.00077298528,0,0,0,0
96,2010,May,37,45279,.00081715587,0,0,0,0
97,2010,Jun,34,45279,.00075089996,0,0,0,0
98,2010,Jul,55,45279,.0012146911,0,0,0,0
99,2010,Aug,51,45279,.00112635,0,0,0,0
100,2010,Sep,36,45279,.00079507055,0,0,0,0
101,2010,Oct,40,45279,.00088341173,0,0,0,0
102,2010,Nov,37,45279,.00081715587,0,0,0,0
103,2010,Dec,42,45279,.00092758232,0,0,0,0
104,2011,Jan,46,45375,.0010137741,0,1,0,0
105,2011,Feb,64,45375,.0014104684,0,1,0,0
106,2011,Mar,51,45375,.001123967,0,1,0,0
107,2011,Apr,31,45375,.0006831956,1,0,0,0
108,2011,May,34,45375,.00074931129,1,0,0,0
109,2011,Jun,29,45375,.00063911843,1,0,0,0
110,2011,Jul,22,45375,.00048484848,1,0,0,0
111,2011,Aug,27,45375,.00059504132,1,0,0,0
112,2011,Sep,28,45375,.0006170799,1,0,0,0
113,2011,Oct,28,45375,.0006170799,1,0,0,0
114,2011,Nov,52,45375,.0011460055,1,0,0,0
115,2011,Dec,43,45375,.00094765838,1,0,0,0
116,2012,Jan,58,45821,.0012657952,1,0,0,0
117,2012,Feb,46,45821,.0010039065,1,0,0,0
118,2012,Mar,44,45821,.00096025842,1,0,0,0
119,2012,Apr,29,45821,.0006328976,1,0,0,0
120,2012,May,17,45821,.00037100894,1,0,0,0
121,2012,Jun,27,45821,.00058924948,1,0,0,0
122,2012,Jul,31,45821,.00067654566,1,0,0,0
123,2012,Aug,33,45821,.00072019378,1,0,0,0
124,2012,Sep,27,45821,.00058924948,1,0,0,0
125,2012,Oct,34,45821,.00074201787,1,0,0,0
126,2012,Nov,76,45821,.0016586281,1,0,0,0
127,2012,Dec,17,45821,.00037100894,1,0,1,0
128,2013,Jan,13,45354,.00028663402,1,0,0,0
129,2013,Feb,13,45354,.00028663402,1,0,0,0
130,2013,Mar,17,45354,.00037482913,1,0,0,0
131,2013,Apr,15,45354,.00033073156,1,0,0,0
132,2013,May,21,45354,.00046302422,1,0,0,0
133,2013,Jun,20,45354,.00044097545,1,0,0,0
134,2013,Jul,23,45354,.00050712173,1,0,0,0
135,2013,Aug,23,45354,.00050712173,1,0,0,0
136,2013,Sep,23,45354,.00050712173,1,0,0,0
137,2013,Oct,32,45354,.00070556073,1,0,0,0
138,2013,Nov,39,45354,.00085990212,1,0,0,0
139,2013,Dec,13,45354,.00028663402,1,0,0,1
140,2014,Jan,24,44943,.00053400977,1,0,0,0
141,2014,Feb,35,44943,.0007787642,1,0,0,0
142,2014,Mar,28,44943,.00062301138,1,0,0,0
143,2014,Apr,36,44943,.0008010146,1,0,0,0
144,2014,May,27,44943,.00060076098,1,0,0,0
145,2014,Jun,32,44943,.00071201299,1,0,0,0
146,2014,Jul,28,44943,.00062301138,1,0,0,0
147,2014,Aug,16,44943,.00035600649,1,0,0,0
148,2014,Sep,20,44943,.00044500813,1,0,0,0
149,2014,Oct,29,44943,.00064526178,1,0,0,0
150,2014,Nov,43,44943,.00095676747,1,0,0,0
151,2014,Dec,57,44943,.0012682731,1,0,0,0
152,2015,Jan,40,47743,.00083781919,1,0,0,0
153,2015,Feb,24,47743,.00050269149,1,0,0,0
154,2015,Mar,25,47743,.00052363699,1,0,0,0
